Timestamp,Source IP,Port,Service,Event Type,Details
2026-02-12T20:57:07.575666,8.8.8.8,80,http,HTTP_REQUEST,GET / HTTP/1.1
2026-02-12T20:57:07.579161,8.8.8.8,80,http,USER_AGENT,curl/8.15.0
2026-02-12T20:57:08.599150,185.220.101.1,80,http,HTTP_REQUEST,GET / HTTP/1.1
2026-02-12T20:57:08.613730,185.220.101.1,80,http,USER_AGENT,curl/8.15.0
2026-02-12T20:57:09.628986,45.142.120.50,80,http,HTTP_REQUEST,GET / HTTP/1.1
2026-02-12T20:57:09.631765,45.142.120.50,80,http,USER_AGENT,curl/8.15.0
2026-02-12T20:57:10.647605,39.96.54.123,80,http,HTTP_REQUEST,POST /login HTTP/1.1
2026-02-12T20:57:10.651153,39.96.54.123,80,http,USER_AGENT,curl/8.15.0
2026-02-12T20:57:10.653855,39.96.54.123,80,http,CREDENTIAL_SUBMISSION,"POST /login HTTP/1.1
Host: 192.168.100.200
User-Agent: curl/8.15.0
Accept: */*
X-Forwarded-For: 39.96.54.123
Content-Length: 31
Content-Type: application/x-www-form-urlencoded

username=hacker&password=123456"
2026-02-12T20:57:10.668293,195.154.173.208,80,http,CREDENTIAL_SUBMISSION,GET /admin?username=attacker&password=letmein HTTP/1.1
2026-02-12T20:57:10.671466,195.154.173.208,80,http,USER_AGENT,curl/8.15.0
2026-02-12T20:57:10.674824,195.154.173.208,80,http,CREDENTIAL_SUBMISSION,"GET /admin?username=attacker&password=letmein HTTP/1.1
Host: 192.168.100.200
User-Agent: curl/8.15.0
Accept: */*
X-Forwarded-For: 195.154.173.208

"
2026-02-12T20:57:10.690429,172.19.0.1,21,ftp,banner sent,
2026-02-12T20:57:10.694620,172.19.0.1,21,ftp,FTP-COMMAND,USER anonymous
2026-02-12T20:57:10.697368,172.19.0.1,21,ftp,FTP-COMMAND,PASS guest
2026-02-12T20:57:10.699515,172.19.0.1,21,ftp,FTP_LOGIN,password=guest
2026-02-12T20:57:10.702230,172.19.0.1,21,ftp,FTP_LOGIN,user=guest
2026-02-12T20:57:10.705044,172.19.0.1,21,ftp,FTP-COMMAND,QUIT 
2026-02-12T20:57:10.717889,172.19.0.1,23,telnet,Telnet login attempt,
2026-02-12T20:57:12.718149,172.19.0.1,23,telnet,LOGIN ATTEMPT: hacker password123,
2026-02-12T20:57:12.721915,172.19.0.1,23,telnet,LOGIN FAILED: hacker,
2026-02-12T20:57:16.725562,172.19.0.1,23,telnet,Telnet login attempt,
2026-02-12T20:57:18.724959,172.19.0.1,23,telnet,LOGIN ATTEMPT: admin admin,
2026-02-12T20:57:20.736030,172.19.0.1,23,telnet,DOCKER_ERROR: 'SocketIO' object has no attribute 'send',
2026-02-12T20:57:25.510780,172.19.0.1,22,ssh,Telnet login attempt,
2026-02-12T20:57:27.546454,172.19.0.1,22,ssh,Telnet login attempt,
2026-02-12T20:57:27.565369,172.19.0.1,22,ssh,SSH_LOGIN,Successful authentication
2026-02-12T20:57:27.895939,172.19.0.1,23,telnet,DOCKER_ERROR: Socket is closed,
2026-02-12T20:57:29.583238,172.19.0.1,22,ssh,Telnet login attempt,
2026-02-12T20:57:29.602670,172.19.0.1,22,ssh,SSH_LOGIN,Successful authentication
2026-02-12T20:57:29.891264,172.19.0.1,23,telnet,DOCKER_ERROR: Socket is closed,
2026-02-12T20:57:31.617969,172.19.0.1,22,ssh,Telnet login attempt,
